id,host_id,host_response_rate,host_is_superhost,accommodates,bathrooms,bedrooms,beds,price,guests_included,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_Ballard,neighbourhood_Beacon_Hill,neighbourhood_Capitol_Hill,neighbourhood_Cascade,neighbourhood_Central_Area,neighbourhood_Delridge,neighbourhood_Downtown,neighbourhood_Interbay,neighbourhood_Lake_City,neighbourhood_Magnolia,neighbourhood_Northgate,neighbourhood_Other_neighborhoods,neighbourhood_Queen_Anne,neighbourhood_Rainier_Valley,neighbourhood_Seward_Park,neighbourhood_University_District,neighbourhood_West_Seattle,property_type_Apartment,property_type_Bed_Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Townhouse,room_type_Entire_home_apt,room_type_Private_room,room_type_Shared_room
6362362,33147763,94.88679817905918,0.0,5,2.5,3.0,3.0,600.0,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3544550,16708587,67.0,0.0,8,2.5,3.0,5.0,450.0,6,8,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9025039,68155,100.0,0.0,5,1.0,2.0,3.0,150.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8859380,3792761,100.0,0.0,6,2.0,3.0,3.0,300.0,1,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
4520099,6184895,71.0,0.0,3,1.0,1.0,2.0,80.0,3,4,85.0,8.0,9.0,7.0,10.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2481869,5177328,98.0,1.0,4,1.0,1.0,1.0,175.0,1,38,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1110749,5325329,97.0,0.0,6,1.5,3.0,3.0,325.0,6,68,92.0,9.0,9.0,10.0,9.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5978498,31037494,60.0,0.0,4,3.0,3.0,2.0,175.0,1,8,88.0,9.0,9.0,9.0,9.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5021081,25906186,71.0,0.0,7,3.5,4.0,3.0,222.0,7,5,75.0,8.0,9.0,8.0,9.0,9.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1686930,8916363,100.0,0.0,4,1.0,2.0,2.0,159.0,1,62,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7680289,40335071,100.0,0.0,4,1.0,1.0,2.0,125.0,2,19,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7207641,6544973,50.0,0.0,8,3.0,3.0,3.0,348.0,6,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5062445,21072725,31.0,0.0,1,1.0,1.0,1.0,45.0,1,7,97.0,9.0,8.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8925878,40335071,100.0,0.0,4,1.0,1.0,2.0,150.0,2,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
6389657,2052160,100.0,1.0,2,1.0,0.0,1.0,80.0,1,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
4218733,21896205,100.0,0.0,4,1.0,1.0,2.0,110.0,2,71,90.0,10.0,8.0,10.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2715623,8242272,100.0,0.0,3,1.0,1.0,2.0,148.0,2,9,91.0,9.0,10.0,9.0,9.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1392332,2315558,94.88679817905918,0.0,4,1.5,2.0,2.0,350.0,4,41,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7308567,17597607,100.0,1.0,3,1.5,1.0,2.0,150.0,1,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
6575380,34392395,50.0,0.0,5,1.0,1.0,1.0,150.0,1,9,100.0,10.0,10.0,9.0,9.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6004058,9031463,50.0,0.0,2,1.0,0.0,1.0,100.0,1,20,92.0,9.0,9.0,9.0,9.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5383192,27606550,94.88679817905918,0.0,4,1.0,1.0,2.0,160.0,2,1,100.0,8.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1112092,5856339,100.0,0.0,4,1.0,1.0,3.0,130.0,2,26,95.0,10.0,10.0,9.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7772661,40885963,100.0,0.0,2,1.0,0.0,1.0,99.0,2,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9254900,27128936,100.0,0.0,2,1.0,0.0,1.0,100.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7714294,3521823,94.88679817905918,0.0,3,1.0,1.0,1.0,137.0,2,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
10310373,53050379,94.88679817905918,0.0,3,1.0,1.0,1.0,20.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
9368342,1039322,100.0,0.0,2,1.5,1.0,1.0,150.0,2,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
6361863,25150356,100.0,0.0,2,1.0,1.0,1.0,145.0,2,44,94.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
8105221,15155647,70.0,0.0,2,1.0,1.0,1.0,80.0,1,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
3269390,12171359,100.0,1.0,2,1.0,0.0,1.0,95.0,1,77,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4566393,23669617,94.88679817905918,0.0,4,2.5,3.0,3.0,400.0,4,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9282409,560743,100.0,0.0,2,2.0,1.0,1.0,85.0,1,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8095168,3521823,94.88679817905918,0.0,2,1.0,1.0,1.0,70.0,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2746782,4016632,100.0,1.0,2,1.0,0.0,1.0,90.0,1,109,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
6424982,33524725,100.0,0.0,2,1.0,1.0,1.0,80.0,2,52,92.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8988281,46954097,67.0,0.0,4,1.0,2.0,2.0,175.0,4,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7077910,2843411,100.0,0.0,6,2.5,3.0,4.0,170.0,6,9,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3772674,18232665,100.0,0.0,2,1.0,1.0,1.0,85.0,2,65,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7021906,28770702,100.0,1.0,12,3.5,5.0,7.0,465.0,1,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7618605,5326074,100.0,0.0,2,1.0,1.0,1.0,175.0,1,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10234558,31887689,100.0,0.0,2,1.0,1.0,1.0,50.0,0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7021702,36805437,94.88679817905918,0.0,2,1.0,1.0,1.0,60.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7680439,1612983,100.0,0.0,2,1.0,1.0,1.0,59.0,1,16,93.0,9.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4258515,841009,90.0,0.0,4,1.0,1.0,4.0,47.0,2,23,77.0,8.0,8.0,9.0,9.0,9.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1148517,6296335,100.0,0.0,4,1.0,2.0,2.0,145.0,4,45,97.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2487892,1343908,100.0,0.0,2,1.0,1.0,1.0,70.0,1,75,94.0,10.0,9.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3038772,15473800,100.0,0.0,2,1.0,1.0,1.0,55.0,1,86,94.0,9.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
699460,3587674,100.0,1.0,4,1.0,1.0,2.0,95.0,2,151,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4085439,21066328,100.0,0.0,2,1.0,1.0,1.0,125.0,1,6,92.0,10.0,10.0,10.0,10.0,10.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8053990,23228606,100.0,0.0,2,1.0,1.0,1.0,65.0,1,16,94.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7011773,23228606,100.0,0.0,1,1.0,1.0,1.0,25.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2467550,811494,100.0,0.0,4,1.0,0.0,2.0,40.0,2,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2686374,2231298,100.0,0.0,6,1.0,3.0,4.0,149.0,4,165,95.0,9.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1956274,7466082,100.0,1.0,2,1.5,1.0,1.0,125.0,0,48,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8537192,43954674,67.0,0.0,2,0.5,1.0,1.0,55.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5919096,53050,100.0,1.0,4,1.0,1.0,3.0,129.0,1,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6516529,3781927,94.88679817905918,0.0,2,1.0,1.0,1.0,100.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3294243,4970133,100.0,1.0,4,2.0,2.0,2.0,150.0,1,27,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10210971,24709547,94.88679817905918,0.0,1,1.0,1.0,1.0,50.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3584790,2882219,100.0,0.0,6,1.0,2.0,3.0,99.0,4,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1266459,2317654,100.0,0.0,2,1.5,1.0,1.0,150.0,2,9,98.0,10.0,10.0,10.0,10.0,9.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
408526,2034501,100.0,0.0,7,4.0,3.0,3.0,218.0,4,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4118282,19071753,100.0,0.0,5,1.5,2.0,2.0,80.0,1,88,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6813483,35674639,67.0,0.0,2,1.0,1.0,1.0,126.0,2,10,98.0,9.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6590264,24500821,100.0,0.0,4,1.0,1.0,2.0,115.0,2,5,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2650482,205007,100.0,0.0,4,2.0,2.0,2.0,225.0,1,10,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4395578,430709,88.0,0.0,8,2.5,3.0,5.0,225.0,1,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4995903,13535511,94.88679817905918,0.0,1,1.0,0.0,1.0,50.0,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
